数据集划分信息
============================================================

总文件数: 737
训练集: 589 (79.9%)
验证集: 73 (9.9%)
测试集: 75 (10.2%)

训练集文件列表:
------------------------------------------------------------
12200_20251205_07-49-02_rot-10.0.jpeg	12200_20251205_07-49-02_rot-10.0.xml
12200_20251205_08-42-32_rot-10.0.jpeg	12200_20251205_08-42-32_rot-10.0.xml
12200_20251205_08-28-32_rot-10.0.jpeg	12200_20251205_08-28-32_rot-10.0.xml
2026-01-06_15:01:29_10.10.2.200_rot-6.0.jpeg	2026-01-06_15:01:29_10.10.2.200_rot-6.0.xml
12200_20251205_09-55-53_rot-10.0.jpeg	12200_20251205_09-55-53_rot-10.0.xml
2025-12-04_09:01:29_10.10.2.200_rot-6.0.jpeg	2025-12-04_09:01:29_10.10.2.200_rot-6.0.xml
12200_20251204_08-51-52_rot-6.0.jpeg	12200_20251204_08-51-52_rot-6.0.xml
2025-12-07_15:01:22_10.10.2.200_rot-10.0.jpeg	2025-12-07_15:01:22_10.10.2.200_rot-10.0.xml
12200_20251205_07-29-32_rot-10.0.jpeg	12200_20251205_07-29-32_rot-10.0.xml
2025-12-11_18-01-47_10.10.2.200_rot-6.0.jpeg	2025-12-11_18-01-47_10.10.2.200_rot-6.0.xml
2025-12-25_11:01:42_10.10.2.200_rot-6.0.jpeg	2025-12-25_11:01:42_10.10.2.200_rot-6.0.xml
12200_20251205_07-52-32_rot-10.0.jpeg	12200_20251205_07-52-32_rot-10.0.xml
2025-12-11_15-02-04_10.10.2.200_rot-6.0.jpeg	2025-12-11_15-02-04_10.10.2.200_rot-6.0.xml
12200_20251205_07-25-02_rot-10.0.jpeg	12200_20251205_07-25-02_rot-10.0.xml
12200_20251205_08-30-02_rot-10.0.jpeg	12200_20251205_08-30-02_rot-10.0.xml
2025-12-25_15:01:45_10.10.2.200_rot-6.0.jpeg	2025-12-25_15:01:45_10.10.2.200_rot-6.0.xml
2026-01-05_18:01:55_10.10.2.200_rot-6.0.jpeg	2026-01-05_18:01:55_10.10.2.200_rot-6.0.xml
2025-12-25_14:01:39_10.10.2.200_rot-6.0.jpeg	2025-12-25_14:01:39_10.10.2.200_rot-6.0.xml
12200_20251205_07-15-32_rot-10.0.jpeg	12200_20251205_07-15-32_rot-10.0.xml
2025-12-02_16:01:20_10.10.2.200_rot-6.0.jpeg	2025-12-02_16:01:20_10.10.2.200_rot-6.0.xml
2025-12-23_09:01:43_10.10.2.200_rot-6.0.jpeg	2025-12-23_09:01:43_10.10.2.200_rot-6.0.xml
2026-01-07_08:01:43_10.10.2.200_rot-6.0.jpeg	2026-01-07_08:01:43_10.10.2.200_rot-6.0.xml
12200_20251205_07-07-02_rot-10.0.jpeg	12200_20251205_07-07-02_rot-10.0.xml
2025-12-23_15:01:19_10.10.2.200_rot-6.0.jpeg	2025-12-23_15:01:19_10.10.2.200_rot-6.0.xml
12200_20251205_07-11-32_rot-10.0.jpeg	12200_20251205_07-11-32_rot-10.0.xml
10.10.2.200_01_20251030155939827_rot-6.0.jpeg	10.10.2.200_01_20251030155939827_rot-6.0.xml
12200_20251205_10-10-53_rot-10.0.jpeg	12200_20251205_10-10-53_rot-10.0.xml
12200_20251204_08-35-51_rot-6.0.jpeg	12200_20251204_08-35-51_rot-6.0.xml
12200_20251205_07-50-02_rot-10.0.jpeg	12200_20251205_07-50-02_rot-10.0.xml
12200_20251204_08-39-35_rot-6.0.jpeg	12200_20251204_08-39-35_rot-6.0.xml
2025-12-29_09:01:57_10.10.2.200_rot-6.0.jpeg	2025-12-29_09:01:57_10.10.2.200_rot-6.0.xml
10.10.2.200_01_2025103015595195_rot-6.0.jpeg	10.10.2.200_01_2025103015595195_rot-6.0.xml
2025-12-01_17:19:15_10.10.2.200_rot-6.0.jpeg	2025-12-01_17:19:15_10.10.2.200_rot-6.0.xml
2025-12-04_13:01:30_10.10.2.200_rot-6.0.jpeg	2025-12-04_13:01:30_10.10.2.200_rot-6.0.xml
12200_20251204_08-52-42_rot-6.0.jpeg	12200_20251204_08-52-42_rot-6.0.xml
2025-12-04_10:01:41_10.10.2.200_rot-6.0.jpeg	2025-12-04_10:01:41_10.10.2.200_rot-6.0.xml
2025-12-01_10:10:20_10.10.2.200_rot-6.0.jpeg	2025-12-01_10:10:20_10.10.2.200_rot-6.0.xml
12200_20251205_07-18-02_rot-10.0.jpeg	12200_20251205_07-18-02_rot-10.0.xml
12200_20251204_08-20-05_rot-6.0.jpeg	12200_20251204_08-20-05_rot-6.0.xml
2025-12-07_08:01:34_10.10.2.200_rot-10.0.jpeg	2025-12-07_08:01:34_10.10.2.200_rot-10.0.xml
12200_20251205_07-39-32_rot-10.0.jpeg	12200_20251205_07-39-32_rot-10.0.xml
2025-12-21_13:01:43_10.10.2.200_rot-6.0.jpeg	2025-12-21_13:01:43_10.10.2.200_rot-6.0.xml
2026-01-03_09:01:46_10.10.2.200_rot-6.0.jpeg	2026-01-03_09:01:46_10.10.2.200_rot-6.0.xml
2025-12-24_06:01:37_10.10.2.200_rot-6.0.jpeg	2025-12-24_06:01:37_10.10.2.200_rot-6.0.xml
12200_20251205_07-30-02_rot-10.0.jpeg	12200_20251205_07-30-02_rot-10.0.xml
12200_20251205_07-20-32_rot-10.0.jpeg	12200_20251205_07-20-32_rot-10.0.xml
12200_20251204_08-19-35_rot-6.0.jpeg	12200_20251204_08-19-35_rot-6.0.xml
12200_20251205_07-52-02_rot-10.0.jpeg	12200_20251205_07-52-02_rot-10.0.xml
12200_20251204_08-08-35_rot-6.0.jpeg	12200_20251204_08-08-35_rot-6.0.xml
2025-12-22_13:01:23_10.10.2.200_rot-6.0.jpeg	2025-12-22_13:01:23_10.10.2.200_rot-6.0.xml
2025-12-08_07:01:46_10.10.2.200_rot-10.0.jpeg	2025-12-08_07:01:46_10.10.2.200_rot-10.0.xml
2025-12-11_10-01-16_10.10.2.200_rot-6.0.jpeg	2025-12-11_10-01-16_10.10.2.200_rot-6.0.xml
2025-12-23_07:01:37_10.10.2.200_rot-6.0.jpeg	2025-12-23_07:01:37_10.10.2.200_rot-6.0.xml
12200_20251205_07-09-02_rot-10.0.jpeg	12200_20251205_07-09-02_rot-10.0.xml
2025-12-14_14-01-49_10.10.2.200_rot-6.0.jpeg	2025-12-14_14-01-49_10.10.2.200_rot-6.0.xml
2025-12-21_11:01:32_10.10.2.200_rot-6.0.jpeg	2025-12-21_11:01:32_10.10.2.200_rot-6.0.xml
2025-12-21_12:01:33_10.10.2.200_rot-6.0.jpeg	2025-12-21_12:01:33_10.10.2.200_rot-6.0.xml
12200_20251204_08-37-35_rot-6.0.jpeg	12200_20251204_08-37-35_rot-6.0.xml
2025-12-22_15:01:34_10.10.2.200_rot-6.0.jpeg	2025-12-22_15:01:34_10.10.2.200_rot-6.0.xml
2025-12-25_08:01:40_10.10.2.200_rot-6.0.jpeg	2025-12-25_08:01:40_10.10.2.200_rot-6.0.xml
12200_20251205_07-31-32_rot-10.0.jpeg	12200_20251205_07-31-32_rot-10.0.xml
12200_20251205_10-09-53_rot-10.0.jpeg	12200_20251205_10-09-53_rot-10.0.xml
12200_20251205_07-12-02_rot-10.0.jpeg	12200_20251205_07-12-02_rot-10.0.xml
12200_20251204_08-49-35_rot-6.0.jpeg	12200_20251204_08-49-35_rot-6.0.xml
2025-12-26_07:01:30_10.10.2.200_rot-6.0.jpeg	2025-12-26_07:01:30_10.10.2.200_rot-6.0.xml
2025-12-24_09:01:33_10.10.2.200_rot-6.0.jpeg	2025-12-24_09:01:33_10.10.2.200_rot-6.0.xml
12200_20251204_08-14-31_rot-6.0.jpeg	12200_20251204_08-14-31_rot-6.0.xml
2025-12-05_06:01:24_10.10.2.200_rot-6.0.jpeg	2025-12-05_06:01:24_10.10.2.200_rot-6.0.xml
12200_20251204_08-24-51_rot-6.0.jpeg	12200_20251204_08-24-51_rot-6.0.xml
12200_20251205_07-22-02_rot-10.0.jpeg	12200_20251205_07-22-02_rot-10.0.xml
12200_20251204_08-24-35_rot-6.0.jpeg	12200_20251204_08-24-35_rot-6.0.xml
2026-01-06_18:01:28_10.10.2.200_rot-6.0.jpeg	2026-01-06_18:01:28_10.10.2.200_rot-6.0.xml
12200_20251204_08-17-21_rot-6.0.jpeg	12200_20251204_08-17-21_rot-6.0.xml
12200_20251204_08-43-05_rot-6.0.jpeg	12200_20251204_08-43-05_rot-6.0.xml
12200_20251205_09-54-23_rot-10.0.jpeg	12200_20251205_09-54-23_rot-10.0.xml
12200_20251204_08-49-03_rot-6.0.jpeg	12200_20251204_08-49-03_rot-6.0.xml
2025-12-25_19:01:40_10.10.2.200_rot-6.0.jpeg	2025-12-25_19:01:40_10.10.2.200_rot-6.0.xml
12200_20251205_07-41-32_rot-10.0.jpeg	12200_20251205_07-41-32_rot-10.0.xml
2025-12-11_13-01-21_10.10.2.200_rot-6.0.jpeg	2025-12-11_13-01-21_10.10.2.200_rot-6.0.xml
10.10.2.200_01_20251209095024261_rot-6.0.jpg	10.10.2.200_01_20251209095024261_rot-6.0.xml
12200_20251205_07-28-02_rot-10.0.jpeg	12200_20251205_07-28-02_rot-10.0.xml
12200_20251204_08-26-31_rot-6.0.jpeg	12200_20251204_08-26-31_rot-6.0.xml
12200_20251204_08-54-12_rot-6.0.jpeg	12200_20251204_08-54-12_rot-6.0.xml
12200_20251204_08-10-29_rot-6.0.jpeg	12200_20251204_08-10-29_rot-6.0.xml
12200_20251204_08-09-19_rot-6.0.jpeg	12200_20251204_08-09-19_rot-6.0.xml
2026-01-04_13:01:24_10.10.2.200_rot-6.0.jpeg	2026-01-04_13:01:24_10.10.2.200_rot-6.0.xml
12200_20251205_08-06-02_rot-10.0.jpeg	12200_20251205_08-06-02_rot-10.0.xml
2025-12-25_09:01:41_10.10.2.200_rot-6.0.jpeg	2025-12-25_09:01:41_10.10.2.200_rot-6.0.xml
2025-12-03_11:01:36_10.10.2.200_rot-6.0.jpeg	2025-12-03_11:01:36_10.10.2.200_rot-6.0.xml
12200_20251205_08-31-02_rot-10.0.jpeg	12200_20251205_08-31-02_rot-10.0.xml
2025-12-01_19:04:46_10.10.2.200_rot-6.0.jpeg	2025-12-01_19:04:46_10.10.2.200_rot-6.0.xml
10.10.2.200_01_20251030144427677_rot-6.0.jpeg	10.10.2.200_01_20251030144427677_rot-6.0.xml
12200_20251204_08-13-18_rot-6.0.jpeg	12200_20251204_08-13-18_rot-6.0.xml
12200_20251205_07-16-32_rot-10.0.jpeg	12200_20251205_07-16-32_rot-10.0.xml
12200_20251205_08-04-32_rot-10.0.jpeg	12200_20251205_08-04-32_rot-10.0.xml
12200_20251205_08-36-02_rot-10.0.jpeg	12200_20251205_08-36-02_rot-10.0.xml
2025-12-15_10-01-39_10.10.2.200_rot-6.0.jpeg	2025-12-15_10-01-39_10.10.2.200_rot-6.0.xml
12200_20251205_07-57-32_rot-10.0.jpeg	12200_20251205_07-57-32_rot-10.0.xml
12200_20251205_07-27-32_rot-10.0.jpeg	12200_20251205_07-27-32_rot-10.0.xml
2025-12-29_14:01:48_10.10.2.200_rot-6.0.jpeg	2025-12-29_14:01:48_10.10.2.200_rot-6.0.xml
12200_20251205_09-48-23_rot-10.0.jpeg	12200_20251205_09-48-23_rot-10.0.xml
12200_20251204_08-28-35_rot-6.0.jpeg	12200_20251204_08-28-35_rot-6.0.xml
12200_20251205_08-25-32_rot-10.0.jpeg	12200_20251205_08-25-32_rot-10.0.xml
2026-01-05_12:01:41_10.10.2.200_rot-6.0.jpeg	2026-01-05_12:01:41_10.10.2.200_rot-6.0.xml
12200_20251204_08-44-35_rot-6.0.jpeg	12200_20251204_08-44-35_rot-6.0.xml
12200_20251205_06-52-32_rot-10.0.jpeg	12200_20251205_06-52-32_rot-10.0.xml
12200_20251205_08-19-32_rot-10.0.jpeg	12200_20251205_08-19-32_rot-10.0.xml
2025-12-03_16:01:34_10.10.2.200_rot-6.0.jpeg	2025-12-03_16:01:34_10.10.2.200_rot-6.0.xml
2025-12-07_11:01:47_10.10.2.200_rot-10.0.jpeg	2025-12-07_11:01:47_10.10.2.200_rot-10.0.xml
2025-12-04_18:01:23_10.10.2.200_rot-6.0.jpeg	2025-12-04_18:01:23_10.10.2.200_rot-6.0.xml
2025-12-02_09:01:40_10.10.2.200_rot-6.0.jpeg	2025-12-02_09:01:40_10.10.2.200_rot-6.0.xml
12200_20251205_07-36-02_rot-10.0.jpeg	12200_20251205_07-36-02_rot-10.0.xml
12200_20251205_08-13-02_rot-10.0.jpeg	12200_20251205_08-13-02_rot-10.0.xml
12200_20251204_08-29-51_rot-6.0.jpeg	12200_20251204_08-29-51_rot-6.0.xml
12200_20251204_08-54-05_rot-6.0.jpeg	12200_20251204_08-54-05_rot-6.0.xml
2026-01-06_08:01:44_10.10.2.200_rot-6.0.jpeg	2026-01-06_08:01:44_10.10.2.200_rot-6.0.xml
2025-12-03_10:01:31_10.10.2.200_rot-6.0.jpeg	2025-12-03_10:01:31_10.10.2.200_rot-6.0.xml
2025-12-02_14:01:24_10.10.2.200_rot-6.0.jpeg	2025-12-02_14:01:24_10.10.2.200_rot-6.0.xml
12200_20251205_08-29-32_rot-10.0.jpeg	12200_20251205_08-29-32_rot-10.0.xml
2025-12-26_17:01:38_10.10.2.200_rot-6.0.jpeg	2025-12-26_17:01:38_10.10.2.200_rot-6.0.xml
12200_20251205_08-39-02_rot-10.0.jpeg	12200_20251205_08-39-02_rot-10.0.xml
2025-12-12_10-01-25_10.10.2.200_rot-6.0.jpeg	2025-12-12_10-01-25_10.10.2.200_rot-6.0.xml
10.10.2.200_01_20251030151709417_rot-6.0.jpeg	10.10.2.200_01_20251030151709417_rot-6.0.xml
12200_20251204_08-13-51_rot-6.0.jpeg	12200_20251204_08-13-51_rot-6.0.xml
12200_20251205_08-33-32_rot-10.0.jpeg	12200_20251205_08-33-32_rot-10.0.xml
2026-01-07_14:01:42_10.10.2.200_rot-6.0.jpeg	2026-01-07_14:01:42_10.10.2.200_rot-6.0.xml
2025-12-05_18:01:27_10.10.2.200_rot-10.0.jpeg	2025-12-05_18:01:27_10.10.2.200_rot-10.0.xml
2025-12-29_17:01:42_10.10.2.200_rot-6.0.jpeg	2025-12-29_17:01:42_10.10.2.200_rot-6.0.xml
12200_20251205_08-11-02_rot-10.0.jpeg	12200_20251205_08-11-02_rot-10.0.xml
2026-01-05_06:01:40_10.10.2.200_rot-6.0.jpeg	2026-01-05_06:01:40_10.10.2.200_rot-6.0.xml
12200_20251205_08-23-02_rot-10.0.jpeg	12200_20251205_08-23-02_rot-10.0.xml
12200_20251204_08-39-01_rot-6.0.jpeg	12200_20251204_08-39-01_rot-6.0.xml
12200_20251204_08-42-51_rot-6.0.jpeg	12200_20251204_08-42-51_rot-6.0.xml
2025-12-05_12:01:26_10.10.2.200_rot-6.0.jpeg	2025-12-05_12:01:26_10.10.2.200_rot-6.0.xml
2025-12-08_06:01:36_10.10.2.200_rot-10.0.jpeg	2025-12-08_06:01:36_10.10.2.200_rot-10.0.xml
12200_20251204_08-10-35_rot-6.0.jpeg	12200_20251204_08-10-35_rot-6.0.xml
2025-12-12_13-01-26_10.10.2.200_rot-6.0.jpeg	2025-12-12_13-01-26_10.10.2.200_rot-6.0.xml
12200_20251205_08-05-02_rot-10.0.jpeg	12200_20251205_08-05-02_rot-10.0.xml
12200_20251205_07-58-32_rot-10.0.jpeg	12200_20251205_07-58-32_rot-10.0.xml
2025-12-26_08:01:43_10.10.2.200_rot-6.0.jpeg	2025-12-26_08:01:43_10.10.2.200_rot-6.0.xml
12200_20251205_06-59-32_rot-10.0.jpeg	12200_20251205_06-59-32_rot-10.0.xml
2025-12-03_15:01:40_10.10.2.200_rot-6.0.jpeg	2025-12-03_15:01:40_10.10.2.200_rot-6.0.xml
2025-12-23_16:01:42_10.10.2.200_rot-6.0.jpeg	2025-12-23_16:01:42_10.10.2.200_rot-6.0.xml
12200_20251204_08-47-35_rot-6.0.jpeg	12200_20251204_08-47-35_rot-6.0.xml
2025-12-25_06:01:35_10.10.2.200_rot-6.0.jpeg	2025-12-25_06:01:35_10.10.2.200_rot-6.0.xml
2025-12-25_07:01:39_10.10.2.200_rot-6.0.jpeg	2025-12-25_07:01:39_10.10.2.200_rot-6.0.xml
2025-12-20_01:01:26_10.10.2.200_rot-6.0.jpeg	2025-12-20_01:01:26_10.10.2.200_rot-6.0.xml
12200_20251205_09-48-53_rot-10.0.jpeg	12200_20251205_09-48-53_rot-10.0.xml
2026-01-04_06:01:33_10.10.2.200_rot-6.0.jpeg	2026-01-04_06:01:33_10.10.2.200_rot-6.0.xml
2025-12-10_09-01-36_10.10.2.200_rot-6.0.jpeg	2025-12-10_09-01-36_10.10.2.200_rot-6.0.xml
12200_20251205_07-53-02_rot-10.0.jpeg	12200_20251205_07-53-02_rot-10.0.xml
12200_20251205_08-23-32_rot-10.0.jpeg	12200_20251205_08-23-32_rot-10.0.xml
12200_20251205_10-06-53_rot-10.0.jpeg	12200_20251205_10-06-53_rot-10.0.xml
2026-01-03_11:01:36_10.10.2.200_rot-6.0.jpeg	2026-01-03_11:01:36_10.10.2.200_rot-6.0.xml
12200_20251205_08-09-32_rot-10.0.jpeg	12200_20251205_08-09-32_rot-10.0.xml
12200_20251204_08-13-35_rot-6.0.jpeg	12200_20251204_08-13-35_rot-6.0.xml
2025-12-03_06:01:32_10.10.2.200_rot-6.0.jpeg	2025-12-03_06:01:32_10.10.2.200_rot-6.0.xml
12200_20251205_07-45-32_rot-10.0.jpeg	12200_20251205_07-45-32_rot-10.0.xml
2025-12-01_13:18:58_10.10.2.200_rot-6.0.jpeg	2025-12-01_13:18:58_10.10.2.200_rot-6.0.xml
